codmun,CFM,CFC_DEATHS,CFC_BEDS
110001,0.0003486598387448246,0.0026585312704292875,0.0021355415123120508
110002,0.004830201273838109,0.003903099301892215,0.0023733810481814895
110004,0.001429257606110662,0.002764793401984559,0.0042174814606544125
110005,0.0005513692335967653,0.0033694786497580104,0.002450529927096735
110006,6.29643621710112e-05,0.0018889308651303363,0.0031482181085505604
110007,0.00013529968881071573,0.0021647950209714517,0.0021647950209714517
110008,0.018493262778899133,0.0014729147346025859,0.00245485789100431
110009,0.003861123123494162,0.0017606721443133378,0.001668005189349478
110010,0.018516914280764067,0.004526356824186771,0.0024689219041018756
110011,0.0017576050217286334,0.0030323515210043455,0.0022018348623853213
110012,0.0008296567392164009,0.0035822562011025906,0.002233094774713303
110013,0.01305293691080493,0.002025455727538696,0.001200270060763672
110014,0.000976848686138517,0.0012210608576731464,0.002149067109504738
110015,0.0008880255307340086,0.003441098931594283,0.0036631053142777855
110018,0.0007364975450081834,0.002073104200763775,0.0015821058374249864
110020,0.0017548891121417674,0.004405677337482815,0.003565331681597752
110025,0.0010534077741493732,0.0034762456546929316,0.0025281786579584957
110026,0.003985122210414453,0.002391073326248672,0.002391073326248672
110028,0.00038141596134984925,0.002615423734970395,0.00170729049366123
110030,0.0004706872033168426,0.0021932020750295433,0.0023233921525427125
110032,0.0007824386003042816,0.0019560965007607042,0.0019126276896326885
110033,0.004119935912108034,0.001994572147925318,0.0010136350259948338
110034,0.0005551314967732982,0.0017347859274165567,0.0024287002983831795
110037,0.0002265689902575334,0.002718827883090401,0.0012838909447926894
110040,0.003593429158110883,0.0018667164457718873,0.0007466865783087549
110045,0.003908811217027286,0.0015635244868109144,0.0016643970343471024
110050,0.00023424689622862497,0.002459592410400562,0.0026938393066291873
110060,0.00032102728731942215,0.0016051364365971107,0.004173354735152488
110070,0.000990169035999717,0.0015559799137138412,0.0013438008345710447
110080,0.0037482860675083353,0.0025849473644775785,0.0005619450792342562
110092,8.942944017170452e-05,0.001520300482918977,0.0008942944017170453
110094,0.01689470553242118,0.0014277215942891136,0.0004362482649216736
110100,0.0010299987125016094,0.0021887472640659197,0.002832496459379426
